Sample	posterior	likelihood	prior	treeLikelihood.hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	treeHeight.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	treeLength.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	Tree.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned.count_Absent_to_Present	Tree.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned.count_Present_to_Absent	Tree.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned.count_Absent	Tree.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned.count_Present	rootTypeLogger.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	R0.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned1	R0.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned2	samplingProportion.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned1	samplingProportion.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned2	samplingProportion.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned3	samplingProportion.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned4	becomeUninfectiousRate.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned1	becomeUninfectiousRate.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned2	rateMatrix.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned1	rateMatrix.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned2	geo-frequencies.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned1	geo-frequencies.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned2	clockRate.c:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	rateAC.s:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	rateAG.s:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	rateAT.s:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	rateCG.s:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	rateGT.s:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	freqParameter.s:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned1	freqParameter.s:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned2	freqParameter.s:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned3	freqParameter.s:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned4
2542000	-50175.60529538487	-50436.29055112052	260.6852557356499	-50436.29055112052	1.3098910655551268	64.18214007114177	0	7	84	71	0	1.1065343205735916	1.2985809180322216	0.0	2.285318380373121E-4	0.0	9.313866572793444E-4	53.73233180066695	53.73233180066695	0.0028321733052368517	8.824128793012851E-5	0.4936085039655152	0.5063914960344837	5.256087971701127E-4	0.10724023460576071	0.3919080114015018	0.034339813543068615	0.08688407659277053	0.33772737148087223	0.29555314502988833	0.17923002850898764	0.19468200111107078	0.33053482535005335
2543000	-50180.64011488594	-50434.953144485255	254.3130295993184	-50434.953144485255	1.3579687920714452	65.52539733614904	0	7	84	71	0	1.099662010374707	1.3294730408989868	0.0	2.3183323521177454E-4	0.0	7.729597014579868E-4	53.92149443779583	53.92149443779583	0.006540367183292805	4.904884608236293E-5	0.4936085039655152	0.5063914960344837	5.044478633049157E-4	0.10584310171260891	0.3919080114015018	0.034339813543068615	0.08688407659277053	0.3362666920769051	0.29555314502988833	0.17923002850898764	0.19468200111107078	0.33053482535005335
2544000	-50188.30918260377	-50442.48912207239	254.17993946861614	-50442.48912207239	1.250499506192997	65.56850130290752	0	7	84	71	0	1.0982888152481782	1.3062652437274818	0.0	1.7859655659296412E-4	0.0	8.246246145668178E-4	54.471676077198694	54.471676077198694	0.006941690575602865	0.001190659928535301	0.4936085039655152	0.5063914960344837	5.368098720352555E-4	0.08258645273377654	0.3919080114015018	0.034339813543068615	0.08688407659277053	0.3362666920769051	0.29555314502988833	0.17923002850898764	0.19566208386509482	0.3295547425960293
2545000	-50180.8442997861	-50438.23262262792	257.3883228418222	-50438.23262262792	1.1937070830182002	61.47259988595116	0	7	84	71	0	1.109189384491107	1.3316491995009214	0.0	2.9173331381151727E-4	0.0	0.001153282677711032	51.42066216689485	51.42066216689485	0.0036238741025967	4.6588202361675816E-4	0.4936085039655152	0.5063914960344837	5.298378503009838E-4	0.11287715871991347	0.3919080114015018	0.034339813543068615	0.08688407659277053	0.3362666920769051	0.29555314502988833	0.17923002850898764	0.19566208386509482	0.3295547425960293
2546000	-50193.75002229469	-50437.288216098386	243.53819380369268	-50437.288216098386	1.2198758793900186	64.09237704769238	0	7	84	71	0	1.1136698331204857	1.3099948052755697	0.0	1.1400951691138167E-4	0.0	7.700843320079103E-4	53.04818996631922	53.04818996631922	0.0067997066711506125	0.001017019124650195	0.4936085039655152	0.5063914960344837	5.012091919367387E-4	0.1261546556228188	0.30994735335555457	0.034339813543068615	0.08688407659277053	0.3362666920769051	0.29555314502988833	0.17923002850898764	0.19566208386509482	0.3295547425960293
2547000	-50192.370770080954	-50437.408423144545	245.0376530635927	-50437.408423144545	1.1887066122458612	63.77977126172856	0	7	84	71	0	1.1187172327490122	1.3493301326698794	0.0	2.2411759885989908E-4	0.0	9.876676303617355E-4	48.068597750137414	48.068597750137414	0.004141827472341183	0.0014844239132348438	0.4936085039655152	0.5063914960344837	4.977126489615024E-4	0.09556466138104848	0.30994735335555457	0.034339813543068615	0.08688407659277053	0.3362666920769051	0.29555314502988833	0.17923002850898764	0.19566208386509482	0.3295547425960293
2548000	-50183.97716026377	-50434.38898692639	250.4118266626151	-50434.38898692639	1.1560752896479582	60.579693487195286	0	7	84	71	0	1.1071549408786479	1.3290906181910211	0.0	3.121205828782535E-4	0.0	0.0012523036423370928	49.71218717997199	49.71218717997199	0.007493791946020143	2.7235456104686423E-4	0.4936085039655152	0.5063914960344837	5.14966194110862E-4	0.09556466138104848	0.30994735335555457	0.034339813543068615	0.08688407659277053	0.3362666920769051	0.29555314502988833	0.17923002850898764	0.19566208386509482	0.3295547425960293
2549000	-50199.33579535075	-50441.61630817606	242.28051282531166	-50441.61630817606	1.2317864137902979	67.69111869480601	0	7	84	71	0	1.1223783104984422	1.3585418576242112	0.0	1.4774110250105434E-4	0.0	5.608075397220155E-4	49.752726053841926	49.752726053841926	0.006823353742466732	1.2962748581527784E-4	0.4936085039655152	0.5063914960344837	4.951592146743017E-4	0.09556466138104848	0.30994735335555457	0.034339813543068615	0.08688407659277053	0.3362666920769051	0.29555314502988833	0.17923002850898764	0.19566208386509482	0.3295547425960293
2550000	-50186.293012005415	-50432.35033343154	246.05732142612453	-50432.35033343154	1.2695209323124117	67.35697984222111	0	7	84	71	0	1.1380797253903654	1.3301616602228203	0.0	1.2798898910056452E-4	0.0	0.0010856058758493548	47.13700857303312	47.13700857303312	0.00699039336538772	1.1824578468625342E-4	0.4936085039655152	0.5063914960344837	4.6422155170487543E-4	0.09556466138104848	0.30994735335555457	0.034339813543068615	0.08688407659277053	0.3265573863983891	0.29555314502988833	0.17923002850898764	0.19566208386509482	0.3295547425960293
2551000	-50182.87155849339	-50436.08624620514	253.21468771174722	-50436.08624620514	1.2672918744537789	63.74851764042934	0	7	84	71	0	1.1137971832500861	1.254787994439122	0.0	1.338098503856473E-4	0.0	0.0017164200860268859	55.02717713386561	55.02717713386561	0.0028132201178604917	1.651349572958715E-4	0.4936085039655152	0.5063914960344837	5.025490465907716E-4	0.09556466138104848	0.33447230247676474	0.031909779008721356	0.08688407659277053	0.3265573863983891	0.29555314502988833	0.17923002850898764	0.19566208386509482	0.3295547425960293
