Sample	posterior	likelihood	prior	treeLikelihood.hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	treeHeight.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	treeLength.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	Tree.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned.count_Absent_to_Present	Tree.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned.count_Present_to_Absent	Tree.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned.count_Absent	Tree.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned.count_Present	rootTypeLogger.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	R0.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned1	R0.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned2	samplingProportion.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned1	samplingProportion.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned2	samplingProportion.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned3	samplingProportion.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned4	becomeUninfectiousRate.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned1	becomeUninfectiousRate.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned2	rateMatrix.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned1	rateMatrix.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned2	geo-frequencies.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned1	geo-frequencies.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned2	clockRate.c:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	freqParameter.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned1	freqParameter.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned2	freqParameter.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned3	freqParameter.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned4	rateAC.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	rateAG.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	rateAT.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	rateCG.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	rateGT.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	gammaShape.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned
514000	-46183.67537728956	-46314.30112705455	130.62574976498902	-46314.30112705455	1.2599896919964293	35.0456179732095	1	3	40	37	0	1.0775282975263072	1.2997789468536471	0.0	1.5232327807056505E-4	0.0	8.663681924404495E-4	54.66596993718327	54.66596993718327	0.002623765916642644	0.002630510870412403	0.8811546930291992	0.11884530697080127	6.121100738295719E-4	0.30243538982059404	0.17902835787598695	0.1957603741074201	0.32277587819599923	0.05316794858467528	0.2831568473211778	0.04971919216765677	0.02267821902398153	0.2899536959885073	0.00469057024142274
515000	-46175.51731312654	-46313.99834525018	138.48103212363907	-46313.99834525018	1.1815114247396463	34.96053699071175	1	3	40	37	0	1.098702836366378	1.3983935828815233	0.0	1.6080943820185868E-4	0.0	4.2587059641069396E-4	53.12266999631065	53.12266999631065	0.002536486263688649	8.010110725617741E-4	0.8811546930291992	0.11884530697080127	5.567602311740768E-4	0.30243538982059404	0.17902835787598695	0.1957603741074201	0.32277587819599923	0.05316794858467528	0.2831568473211778	0.04971919216765677	0.02267821902398153	0.2899536959885073	0.005509097865501554
516000	-46180.94306815967	-46313.39919827196	132.45613011229034	-46313.39919827196	1.195811638695683	35.861860154470186	1	3	40	37	0	1.1078357402524484	1.3883495916316317	0.0	1.6645165932233696E-4	0.0	5.177481694140077E-4	50.194352690403335	50.194352690403335	0.0027277321527635853	7.675056104581573E-5	0.8811546930291992	0.11884530697080127	5.347235146334388E-4	0.3001587802279799	0.18130496746860103	0.1957603741074201	0.32277587819599923	0.11317407192006462	0.2831568473211778	0.04971919216765677	0.023886324594138093	0.2899536959885073	0.005509097865501554
517000	-46177.8354610607	-46310.19929641635	132.36383535565508	-46310.19929641635	1.2477647653822774	36.635682648122966	1	3	40	37	0	1.090415528191214	1.3905911213906976	0.0	1.7030806594988337E-4	0.0	4.0127911603564983E-4	50.93273154763792	50.93273154763792	0.0018888349171070345	2.414778618224077E-4	0.9730264305971728	0.026973569402827705	5.543711808248063E-4	0.3001587802279799	0.18130496746860103	0.1957603741074201	0.32277587819599923	0.11317407192006462	0.2831568473211778	0.04971919216765677	0.05663543181730866	0.2899536959885073	0.005509097865501554
518000	-46176.649170499215	-46305.88544603907	129.23627553986057	-46305.88544603907	1.1991761474711664	35.969230140408975	1	3	40	37	0	1.1152830189856708	1.4303949619360758	0.0	7.993758984482927E-5	0.0	4.1706993818899644E-4	50.675150545571995	50.675150545571995	0.00199383569730454	8.587444635223931E-4	0.9730264305971728	0.026973569402827705	5.619453206689893E-4	0.3001587802279799	0.18130496746860103	0.1957603741074201	0.32277587819599923	0.11317407192006462	0.3497638974472334	0.04971919216765677	0.05663543181730866	0.2899536959885073	0.005509097865501554
519000	-46161.89650883429	-46292.35098100808	130.45447217379098	-46292.35098100808	1.0923030003958454	32.5679479567318	1	3	40	37	0	1.1275503311466228	1.287071424504804	0.0	1.1314473600757444E-4	0.0	0.0014291975910399504	52.86738936985828	52.86738936985828	0.002358071853561992	4.7318086659374367E-4	0.9730264305971728	0.026973569402827705	6.190284147631213E-4	0.3001587802279799	0.18130496746860103	0.1946663702193278	0.3238698820840915	0.09773941335604339	0.34684657686714826	0.04971919216765677	0.05663543181730866	0.2899536959885073	0.005509097865501554
520000	-46166.913057300044	-46299.91346826398	133.0004109639357	-46299.91346826398	1.04401930948817	30.02974124058361	1	3	40	37	0	1.0834850914596084	1.3754054849486361	0.0	4.0212413674246616E-4	0.0	0.0013266503375598594	51.808900085441806	51.808900085441806	0.00173567449126228	2.721761621337569E-4	0.9730264305971728	0.026973569402827705	7.017405551437728E-4	0.3001587802279799	0.18130496746860103	0.1946663702193278	0.3238698820840915	0.09773941335604339	0.34684657686714826	0.04971919216765677	0.05663543181730866	0.2899536959885073	0.005509097865501554
521000	-46171.09062333445	-46310.40053294642	139.30990961196852	-46310.40053294642	1.0255525238200764	29.43339676514211	1	3	40	37	0	1.1198276886965481	1.3201553543908529	0.0	1.942667739591649E-4	0.0	0.00124846625202337	51.263947643772596	51.263947643772596	0.0036990203274782384	7.438382335872168E-4	0.9730264305971728	0.026973569402827705	6.952036342454146E-4	0.3001587802279799	0.18456777508193972	0.1946663702193278	0.3206070744707528	0.07915397815784168	0.3572312412536464	0.04971919216765677	0.05663543181730866	0.2899536959885073	0.005719840488320937
522000	-46179.57558849551	-46310.21256311026	130.63697461475607	-46310.21256311026	1.065969944791829	30.042120623439267	1	3	40	37	0	1.0848216579345413	1.360507956433445	0.0	5.521189292094599E-4	0.0	6.581309443749966E-4	49.84888619661881	49.84888619661881	0.0022975756917415456	0.0025341798829902683	0.9730264305971728	0.026973569402827705	6.664595621965697E-4	0.3001587802279799	0.18456777508193972	0.1946663702193278	0.3206070744707528	0.07915397815784168	0.3572312412536464	0.04971919216765677	0.05348585178076596	0.2899536959885073	0.005719840488320937
523000	-46181.56082503354	-46304.638045470034	123.07722043649426	-46304.638045470034	1.1858679185592733	34.22460186907051	1	3	40	37	0	1.085866268550237	1.3231080269919004	0.0	1.6446739170500958E-4	0.0	7.168778193747515E-4	51.829022670091675	51.829022670091675	0.003087660815393824	0.002086658571180986	0.9730264305971728	0.026973569402827705	6.283207925415063E-4	0.3001587802279799	0.18365931281721273	0.1946663702193278	0.32151553673547983	0.07915397815784168	0.3572312412536464	0.05415957339801395	0.05348585178076596	0.2899536959885073	0.005719840488320937
524000	-46176.24988765402	-46299.12220616566	122.87231851164022	-46299.12220616566	1.1721579855768918	33.91327981414439	1	3	40	37	0	1.1222508714116017	1.3319099236350045	0.0	1.0414459111010165E-4	0.0	7.472920585547682E-4	51.1516484913756	51.1516484913756	0.0039323341688069936	0.0038361846212027506	0.9730264305971728	0.026973569402827705	6.014633978517859E-4	0.3001587802279799	0.18365931281721273	0.1946663702193278	0.32151553673547983	0.06745063973702319	0.3572312412536464	0.05415957339801395	0.05348585178076596	0.2899536959885073	0.005719840488320937
525000	-46180.10752056601	-46302.14475397321	122.03723340720181	-46302.14475397321	1.256802437378427	37.46497197366682	1	3	40	37	0	1.1053895879154654	1.3208574781525748	0.0	9.948198983709058E-5	0.0	6.546566582414709E-4	53.02976715423992	53.02976715423992	0.0038869489211825793	0.003791909088785553	0.9730264305971728	0.026973569402827705	5.273748147041427E-4	0.3001587802279799	0.18365931281721273	0.1946663702193278	0.32151553673547983	0.06745063973702319	0.3572312412536464	0.05415957339801395	0.05348585178076596	0.2899536959885073	0.008757620725550837
526000	-46180.11267998989	-46302.394198953894	122.28151896400507	-46302.394198953894	1.2181458638452374	35.64200669888903	1	3	40	37	0	1.1295411079090103	1.322232385577989	0.0	6.805584953446243E-5	0.0	5.863349575043994E-4	50.4160053902877	50.4160053902877	0.0027010261016535355	0.004024578123685289	0.34427521158592456	0.6557247884140759	5.351221749112005E-4	0.3001587802279799	0.18365931281721273	0.1946663702193278	0.32151553673547983	0.06745063973702319	0.3572312412536464	0.05672802283881525	0.025666656395920518	0.2899536959885073	0.043598123256744635
527000	-46196.114134748874	-46300.95593335863	104.8417986097555	-46300.95593335863	1.5781113795553934	47.47847144558817	1	3	40	37	0	1.087587791558542	1.2544212534941264	0.0	6.633181022713893E-5	0.0	4.1990322234714624E-4	53.74545637047378	53.74545637047378	7.309106222046113E-4	0.0030973043084717928	0.34427521158592456	0.6557247884140759	4.2115611252841416E-4	0.3001587802279799	0.18365931281721273	0.1946663702193278	0.32151553673547983	0.09050530726481754	0.3572312412536464	0.05672802283881525	0.025666656395920518	0.2799957303052965	0.043598123256744635
528000	-46191.11846466349	-46307.16250295526	116.0440382917699	-46307.16250295526	1.3413960204532147	37.69912362860198	1	3	40	37	0	1.1202334354615031	1.3354463424928922	0.0	5.437035722611838E-5	0.0	2.588906949677279E-4	54.26247672751672	54.26247672751672	0.0011138065965694396	0.0025291443928272175	0.34427521158592456	0.6557247884140759	5.290743010215142E-4	0.3001587802279799	0.18365931281721273	0.1946663702193278	0.32151553673547983	0.09050530726481754	0.3572312412536464	0.04776160779965696	0.02499727358143284	0.24619309145123944	0.043598123256744635
